,specimen,num_amtl,age_at_death,age_sd,prob_male,genus,sockets,pop
0,AMNH99.1/100,0,3.7559128299999998,0.689761633,0.5,Homo sapiens,32,Alaska
1,AMNH99.1/101,10,3.9032966100000004,0.72151844,0.25,Homo sapiens,22,Alaska
2,AMNH99.1/102,1,3.4893404400000003,0.570308472,0.25,Homo sapiens,32,Alaska
3,AMNH99.1/103,0,2.9600404399999998,0.518766442,0.5,Homo sapiens,32,Alaska
4,AMNH99.1/104,0,4.40440145,0.8296245839999999,0.25,Homo sapiens,32,Alaska
5,AMNH99.1/105,0,3.2548079899999998,0.5819781039999999,0.75,Homo sapiens,32,Alaska
6,AMNH99.1/107,3,5.61166683,1.02682079,0.5,Homo sapiens,25,Alaska
7,AMNH99.1/109,6,4.374924699999999,0.823260632,0.75,Homo sapiens,30,Alaska
8,AMNH99.1/110,2,4.1980641599999995,0.785088419,0.75,Homo sapiens,15,Alaska
9,AMNH99.1/111,0,4.22754092,0.7914490200000001,0.5,Homo sapiens,32,Alaska
10,AMNH99.1/112,6,4.374924699999999,0.823260632,0.25,Homo sapiens,31,Alaska
11,AMNH99.1/160,5,5.5,1.5,0.25,Homo sapiens,13,Alaska
12,AMNH99.1/59,14,4.88,1.05,0.25,Homo sapiens,26,Alaska
13,AMNH99.1/59-B,0,4.0,1.0,0.25,Homo sapiens,16,Alaska
14,AMNH99.1/60,2,3.78538959,0.696111299,0.5,Homo sapiens,16,Alaska
15,AMNH99.1/61,0,3.43166852,0.619980411,0.75,Homo sapiens,32,Alaska
16,AMNH99.1/64,6,4.3146895899999995,0.747240717,0.25,Homo sapiens,30,Alaska
17,AMNH99.1/72,1,4.61073874,0.874186019,0.75,Homo sapiens,31,Alaska
18,AMNH99.1/75-A,0,3.13690097,0.556672472,0.75,Homo sapiens,32,Alaska
19,AMNH99.1/77,4,4.5200000000000005,1.26,0.75,Homo sapiens,31,Alaska
20,AMNH99.1/79,2,3.94,0.9099999999999999,0.25,Homo sapiens,16,Alaska
21,AMNH99.1/80(a),1,4.61073874,0.874186019,0.75,Homo sapiens,16,Alaska
22,AMNH99.1/80(b),0,4.374924699999999,0.823260632,0.75,Homo sapiens,15,Alaska
23,AMNH99.1/83-A,7,3.20178426,0.37220627,0.25,Homo sapiens,30,Alaska
24,AMNH99.1/84-A,0,3.07794746,0.5440296530000001,0.25,Homo sapiens,32,Alaska
25,AMNH99.1/84-B,12,4.88,1.05,0.25,Homo sapiens,28,Alaska
26,AMNH99.1/84-C,3,4.61073874,0.874186019,0.25,Homo sapiens,16,Alaska
27,AMNH99.1/84-D,0,3.3137614999999996,0.594640065,0.25,Homo sapiens,16,Alaska
28,AMNH99.1/86-C,5,4.72736416,0.83605854,0.25,Homo sapiens,31,Alaska
29,AMNH99.1/86-D,9,5.08236683,0.97611705,0.25,Homo sapiens,28,Alaska
30,AMNH99.1/87,8,4.5200000000000005,1.26,0.75,Homo sapiens,29,Alaska
31,AMNH99.1/89-A,0,4.374924699999999,0.823260632,0.75,Homo sapiens,32,Alaska
32,AMNH99.1/89-B,0,2.8421334099999997,0.49353696300000005,0.75,Homo sapiens,32,Alaska
33,AMNH99.1/90,12,5.5,1.5,0.75,Homo sapiens,30,Alaska
34,AMNH99.1/91-A,11,3.19585448,0.569322104,0.75,Homo sapiens,32,Alaska
35,AMNH99.1/91-B,9,5.08236683,0.97611705,0.5,Homo sapiens,30,Alaska
36,AMNH99.1/94,0,3.43166852,0.619980411,0.25,Homo sapiens,32,Alaska
37,AMNH99.1/96-A,0,3.78538959,0.696111299,0.75,Homo sapiens,32,Alaska
38,AMNH99.1/97,8,3.6674825699999998,0.670718105,0.75,Homo sapiens,30,Alaska
39,AMNH99.1/98,2,3.07794746,0.5440296530000001,0.75,Homo sapiens,32,Alaska
40,AMNH99.1/99,0,3.19585448,0.569322104,0.25,Homo sapiens,32,Alaska
41,BM1868.4.16.2,0,1.2473779999999999,0.329146087,1.0,Pongo,32,Borneo
42,BM1884.10.30.1,0,1.3686453,0.371761878,1.0,Pongo,16,Borneo
43,BM1884.10.30.2,2,1.3686453,0.371761878,1.0,Pongo,32,Borneo
44,BM1886.12.20.10,0,1.41715222,0.38883104199999996,1.0,Pongo,32,Borneo
45,BM1898.2.28.11,0,1.39289876,0.38029504799999997,1.0,Pongo,32,Borneo
46,BM1899.11.6.1,0,1.7121714300000002,0.306608828,0.0,Papio,32,Arabia
47,BM1899.6.10.2,0,1.85922731,0.34773143,1.0,Papio,32,East Africa
48,BM1899.7.8.1,0,2.30253446,0.43542802199999997,1.0,Papio,32,East Africa
49,BM1900.3.18.1,0,1.85922731,0.34773143,1.0,Papio,32,East Africa
50,BM1900.6.28.1,0,1.1454619,0.200186723,1.0,Papio,32,Arabia
51,BM1901.2.13.1,0,1.89952796,0.355691242,1.0,Papio,32,West Africa
52,BM1901.8.9.23,0,1.85922731,0.34773143,0.0,Papio,32,East Africa
53,BM1902.11.22.1,0,1.2485,0.21939990699999998,1.0,Papio,32,Arabia
54,BM1902.9.2.1,0,1.98012926,0.371619727,1.0,Papio,32,East Africa
55,BM1902.9.9.3,0,2.26223381,0.427445115,1.0,Papio,29,East Africa
56,BM1904.11.5.2,0,2.14133186,0.40350724099999996,1.0,Papio,32,East Africa
57,BM1904.8.2.1,0,1.2485,0.21939990699999998,1.0,Papio,32,Arabia
58,BM1904.8.2.3,0,1.7121714300000002,0.306608828,1.0,Papio,32,East Africa
59,BM1905.5.10.1,0,2.18163251,0.41148461999999997,1.0,Papio,32,West Africa
60,BM1906.11.1.6,0,2.02042991,0.379588028,1.0,Papio,32,East Africa
61,BM1907.7.8.11,0,1.98012926,0.371619727,1.0,Papio,32,Central Africa
62,BM1908.7.17.1,0,1.65968682,0.474312763,1.0,Pongo,16,Borneo
63,BM1908.8.9.41,0,1.93982861,0.363654073,1.0,Papio,16,East Africa
64,BM1908.8.9.42,0,2.38313576,0.451398683,0.0,Papio,32,East Africa
65,BM1909.6.11,0,1.40305714,0.24835976299999998,1.0,Papio,32,East Africa
66,BM1910.10.3.1,0,1.30001905,0.229036872,1.0,Papio,28,East Africa
67,BM1911.12.1.1,0,1.81892666,0.339774848,1.0,Papio,32,East Africa
68,BM1913.10.18.2,1,1.93982861,0.363654073,1.0,Papio,32,East Africa
69,BM1913.10.18.3,0,2.42343641,0.459386268,1.0,Papio,16,East Africa
70,BM1914.3.8.2,0,2.66524031,0.507338879,0.0,Papio,32,East Africa
71,BM1918.11.8.1,0,2.26223381,0.427445115,1.0,Papio,16,East Africa
72,BM1922.12.19.6,0,1.81892666,0.339774848,1.0,Papio,32,Central Africa
73,BM1923.3.4.3,0,2.82644291,0.539328887,0.0,Papio,32,East Africa
74,BM1924.2.25.1,0,2.06073056,0.38755881200000003,1.0,Papio,32,East Africa
75,BM1924.8.6.15,0,1.93982861,0.363654073,1.0,Papio,32,West Africa
76,BM1924.8.6.16,0,2.42343641,0.459386268,0.0,Papio,32,West Africa
77,BM1925.5.12.1,0,2.18163251,0.41148461999999997,1.0,Papio,32,West Africa
78,BM1927.8.14.1,0,1.60913333,0.28715520899999997,0.0,Papio,16,East Africa
79,BM1930.12.1.2,0,2.02042991,0.379588028,0.0,Papio,32,East Africa
80,BM1931.4.1.1,0,1.93982861,0.363654073,1.0,Papio,32,East Africa
81,BM1932.7.6.1,0,1.3515381,0.238690817,1.0,Papio,32,East Africa
82,BM1934.11.20.1,0,1.85922731,0.34773143,1.0,Papio,32,East Africa
83,BM1935.10.22.24,0,2.10103121,0.395531929,0.0,Papio,16,West Africa
84,BM1935.2.14.1,0,1.93982861,0.363654073,1.0,Papio,32,East Africa
85,BM1936.12.28.1,0,1.85922731,0.34773143,1.0,Papio,32,East Africa
86,BM1936.12.28.2,0,1.85922731,0.34773143,1.0,Papio,32,East Africa
87,BM1938.7.17.1,1,3.2668455100000005,0.616831052,1.0,Papio,32,Central Africa
88,BM1939.1005,0,1.41715222,0.38883104199999996,1.0,Pongo,16,Borneo
89,BM1939.1006,0,1.12611071,0.28664100000000003,1.0,Pongo,16,Borneo
90,BM1939.1007,0,0.980589949,0.235865298,0.0,Pongo,32,Borneo
91,BM1939.1008,0,1.12611071,0.28664100000000003,0.0,Pongo,32,Borneo
92,BM1939.1021,0,2.06073056,0.38755881200000003,1.0,Papio,32,West Africa
93,BM1962.25,0,1.98012926,0.371619727,0.0,Papio,32,East Africa
94,BM1964.2174,0,1.93982861,0.363654073,0.0,Papio,32,East Africa
95,BM1971.2353,0,2.26223381,0.427445115,1.0,Papio,16,West Africa
96,BM1971.2354,0,2.10103121,0.395531929,1.0,Papio,17,West Africa
97,BM1976.1408,0,1.63543336,0.465756455,0.0,Pongo,33,Borneo
98,BM1976.1409,0,1.39289876,0.38029504799999997,0.0,Pongo,32,Borneo
99,BM1976.1415,0,1.2231245400000001,0.320634803,0.0,Pongo,32,Borneo
100,BM1976.1416,0,1.15036417,0.295130863,0.0,Pongo,31,Borneo
101,BM1976.1417,0,1.12611071,0.28664100000000003,0.0,Pongo,16,Borneo
102,BM1976.1418,0,1.12611071,0.28664100000000003,0.0,Pongo,32,Borneo
103,BM1976.1419,0,1.12611071,0.28664100000000003,0.0,Pongo,32,Borneo
104,BM1976.1420,0,1.10185725,0.278157736,0.0,Pongo,30,Borneo
105,BM1976.1421,0,1.07760379,0.269681693,0.0,Pongo,32,Borneo
106,BM1976.1422,0,1.17461763,0.303626772,0.0,Pongo,32,Borneo
107,BM1976.1423,0,1.12611071,0.28664100000000003,0.0,Pongo,32,Borneo
108,BM1976.1424,0,1.3686453,0.371761878,1.0,Pongo,32,Borneo
109,BM1976.1425,0,1.15036417,0.295130863,1.0,Pongo,33,Borneo
110,BM1976.1426,0,1.19887109,0.312128232,1.0,Pongo,32,Borneo
111,BM1976.1427,0,1.44140568,0.397369678,0.0,Pongo,32,Borneo
112,BM1976.1428,0,1.27163146,0.337661729,1.0,Pongo,32,Borneo
113,BM1976.1429,0,0.980589949,0.235865298,0.5,Pongo,32,Borneo
114,BM1976.1430,0,1.05335033,0.261213574,0.0,Pongo,32,Borneo
115,BM1976.1431,0,1.2473779999999999,0.329146087,1.0,Pongo,32,Borneo
116,BM1976.1434,0,1.15036417,0.295130863,1.0,Pongo,32,Borneo
117,BM1976.1435,0,0.90782957,0.21062475100000003,1.0,Pongo,32,Borneo
118,BM1976.1436,0,1.07760379,0.269681693,1.0,Pongo,32,Borneo
119,BM1976.1437,0,1.12611071,0.28664100000000003,1.0,Pongo,16,Borneo
120,BM1976.1438,0,0.883576111,0.202242151,1.0,Pongo,16,Borneo
121,BM1976.1439,0,0.8593226509999999,0.193878354,1.0,Pongo,32,Borneo
122,BM1976.1440,0,1.2231245400000001,0.320634803,1.0,Pongo,32,Borneo
123,BM1976.1442,0,1.07760379,0.269681693,1.0,Pongo,32,Borneo
124,BM1976.1443,0,1.17461763,0.303626772,1.0,Pongo,34,Borneo
125,BM50a,0,1.30001905,0.229036872,1.0,Papio,32,East Africa
126,BRK125458,1,2.91041325,0.372712188,0.25,Homo sapiens,24,Native Californian
127,BRK125462,8,4.84791205,0.571046472,0.25,Homo sapiens,32,Native Californian
128,BRK125598,0,2.76373976,0.370258313,0.75,Homo sapiens,25,Native Californian
129,BRK125610,1,2.30458795,0.29625106,0.5,Homo sapiens,31,Native Californian
130,BRK125660,5,5.15,1.26,0.75,Homo sapiens,31,Native Californian
131,BRK125661,0,3.23564578,0.425426601,0.75,Homo sapiens,32,Native Californian
132,BRK125666,0,3.6565349400000002,0.49413133699999995,0.25,Homo sapiens,16,Native Californian
133,BRK125670,1,3.58000964,0.481608016,0.5,Homo sapiens,23,Native Californian
134,BRK125675,5,3.6947975900000003,0.500397466,0.5,Homo sapiens,33,Native Californian
135,BRK125676,0,3.67566627,0.49726404100000005,0.75,Homo sapiens,29,Native Californian
136,BRK125678,3,3.96263614,0.544334199,0.75,Homo sapiens,31,Native Californian
137,BRK125679,0,3.27390843,0.431652929,0.75,Homo sapiens,32,Native Californian
138,BRK125800,0,2.85301928,0.36345583800000003,0.75,Homo sapiens,29,Native Californian
139,BRK125802,3,3.67566627,0.49726404100000005,0.75,Homo sapiens,26,Native Californian
140,BRK125810,1,3.05070964,0.416980327,0.75,Homo sapiens,32,Native Californian
141,BRK125811,0,3.46522169,0.462847197,0.75,Homo sapiens,28,Native Californian
142,BRK125821,0,3.71392892,0.5035316,0.75,Homo sapiens,32,Native Californian
143,BRK125822,0,3.03157831,0.41385752800000003,0.25,Homo sapiens,32,Native Californian
144,BRK125827,0,2.75736265,0.348066219,0.75,Homo sapiens,32,Native Californian
145,BRK125832,2,4.5600000000000005,1.04,0.75,Homo sapiens,16,Native Californian
146,BRK126049,0,2.92954458,0.375801123,0.5,Homo sapiens,31,Native Californian
147,BRK126054,0,2.36198193,0.305433283,0.25,Homo sapiens,15,Native Californian
148,BRK126076,0,3.58000964,0.481608016,0.5,Homo sapiens,16,Native Californian
149,BRK126087,0,2.01761807,0.250774612,0.5,Homo sapiens,32,Native Californian
150,BRK126089,4,2.6680831300000003,0.354750963,0.75,Homo sapiens,32,Native Californian
151,BRK126092,1,3.75219157,0.509801939,0.75,Homo sapiens,32,Native Californian
152,BRK126094,0,2.59155783,0.342374303,0.75,Homo sapiens,32,Native Californian
153,BRK126100,7,2.5086554199999997,0.30831943100000003,0.25,Homo sapiens,32,Native Californian
154,BRK126104,0,2.36198193,0.305433283,0.75,Homo sapiens,32,Native Californian
155,BRK126107,5,2.36198193,0.305433283,0.25,Homo sapiens,32,Native Californian
156,BRK126113,1,3.2994168700000004,0.435806278,0.75,Homo sapiens,32,Native Californian
157,BRK126117,0,2.6298204800000002,0.348559185,0.25,Homo sapiens,32,Native Californian
158,BRK126118,1,2.6680831300000003,0.354750963,0.25,Homo sapiens,32,Native Californian
159,BRK126121,1,3.6565349400000002,0.49413133699999995,0.25,Homo sapiens,32,Native Californian
160,BRK126124,0,2.20893133,0.281004779,0.75,Homo sapiens,32,Native Californian
161,BRK126125,5,4.11,1.0,0.25,Homo sapiens,15,Native Californian
162,BRK126243,16,2.55967229,0.31643661700000003,0.75,Homo sapiens,30,Native Californian
163,BRK126244,0,2.61068916,0.34546585900000004,0.75,Homo sapiens,31,Native Californian
164,BRK126247,0,3.96263614,0.544334199,0.25,Homo sapiens,32,Native Californian
165,BRK126248,0,2.8593963899999997,0.385801676,0.25,Homo sapiens,32,Native Californian
166,BRK126250,0,2.6298204800000002,0.348559185,0.25,Homo sapiens,30,Native Californian
167,BRK126251,0,2.99331566,0.407615043,0.75,Homo sapiens,32,Native Californian
168,BRK126252,0,2.24719398,0.287094128,0.25,Homo sapiens,32,Native Californian
169,BRK126256,0,3.20376024,0.441997173,0.25,Homo sapiens,32,Native Californian
170,BRK126259,0,3.21651446,0.422315152,0.25,Homo sapiens,31,Native Californian
171,BRK126260,1,3.63740361,0.49099936800000005,0.25,Homo sapiens,32,Native Californian
172,BRK126261,0,3.23564578,0.425426601,0.25,Homo sapiens,32,Native Californian
173,BRK126264,0,3.71392892,0.5035316,0.25,Homo sapiens,29,Native Californian
174,BRK126266,8,3.6565349400000002,0.49413133699999995,0.5,Homo sapiens,32,Native Californian
175,BRK126271,10,2.58518072,0.320502776,0.5,Homo sapiens,31,Native Californian
176,BRK126291,1,2.20893133,0.281004779,0.5,Homo sapiens,7,Native Californian
177,BRK126292,0,3.6565349400000002,0.49413133699999995,0.5,Homo sapiens,31,Native Californian
178,BRK126472,0,2.8593963899999997,0.385801676,0.25,Homo sapiens,32,Native Californian
179,BRK126755,0,2.61068916,0.34546585900000004,0.75,Homo sapiens,22,Native Californian
180,BRK126757,0,3.16549759,0.414023787,0.75,Homo sapiens,32,Native Californian
181,BRK126758,0,2.36198193,0.305433283,0.25,Homo sapiens,32,Native Californian
182,BRK126760,0,2.6298204800000002,0.348559185,0.75,Homo sapiens,30,Native Californian
183,BRK126761,2,3.58000964,0.481608016,0.75,Homo sapiens,32,Native Californian
184,BRK126764,0,2.3237192799999997,0.299309106,0.75,Homo sapiens,32,Native Californian
185,BRK126765,1,2.97418434,0.40449540500000003,0.5,Homo sapiens,30,Native Californian
186,BRK126766,0,2.6680831300000003,0.354750963,0.75,Homo sapiens,32,Native Californian
187,BRK126767,0,3.12085783,0.40677611799999996,0.75,Homo sapiens,32,Native Californian
188,BRK126768,8,3.7330602399999995,0.506666429,0.25,Homo sapiens,28,Native Californian
189,BRK126773,5,3.96263614,0.544334199,0.75,Homo sapiens,32,Native Californian
190,BRK126774,8,2.2854566299999997,0.293195822,0.25,Homo sapiens,32,Native Californian
191,BRK126776,3,3.8861108399999997,0.531768598,0.5,Homo sapiens,32,Native Californian
192,HTB0802,0,1.423,0.6474995012,1.0,Papio,32,East Africa
193,HTB0828,0,0.9182923080000001,0.2429595478,1.0,Papio,32,South Africa
194,HTB0890,0,1.78945,0.32121794600000003,1.0,Papio,32,East Africa
195,HTB0900,0,1.53185476,0.272587272,1.0,Papio,32,East Africa
196,HTB1025,2,1.86672857,0.335840919,1.0,Papio,32,East Africa
197,HTB1027,0,1.86672857,0.335840919,0.0,Papio,32,East Africa
198,HTB1028,0,1.37729762,0.243523526,0.0,Papio,32,East Africa
199,HTB1043,1,1.60913333,0.28715520899999997,1.0,Papio,32,East Africa
200,HTB1151,0,1.3515381,0.238690817,1.0,Papio,32,East Africa
201,HTB1152,0,1.32577857,0.233861853,1.0,Papio,32,East Africa
202,HTB1153,0,1.30001905,0.229036872,1.0,Papio,16,East Africa
203,HTB1154,0,1.50609524,0.267736152,1.0,Papio,32,East Africa
204,HTB1212,1,1.1167,0.47789750480000004,1.0,Papio,32,Central Africa
205,HTB1214,0,1.4803357099999999,0.26288768500000004,1.0,Papio,32,East Africa
206,HTB1215,0,1.2701047600000002,0.218171291,1.0,Papio,32,East Africa
207,HTB1216,2,1.76369048,0.31634660600000003,1.0,Papio,32,East Africa
208,HTB1217,1,1.6606523800000002,0.296878123,1.0,Papio,31,East Africa
209,HTB1218,0,1.37729762,0.243523526,1.0,Papio,32,East Africa
210,HTB1219,0,1.57921905,0.276002868,1.0,Papio,32,East Africa
211,HTB1220,0,1.55761429,0.277440906,1.0,Papio,32,East Africa
212,HTB1221,0,1.76369048,0.31634660600000003,1.0,Papio,32,East Africa
213,HTB1222,0,1.4803357099999999,0.26288768500000004,0.0,Papio,32,East Africa
214,HTB1223,0,1.60913333,0.28715520899999997,1.0,Papio,32,East Africa
215,HTB1225,0,1.6307380999999999,0.285690736,1.0,Papio,32,East Africa
216,HTB1226,0,1.42881667,0.253199324,1.0,Papio,32,East Africa
217,HTB1426,0,1.7204184999999999,0.32920468,0.0,Pan,32,Ebolwa
218,HTB1497,0,1.1454619,0.200186723,1.0,Papio,31,East Africa
219,HTB1503,0,1.19698095,0.209782262,0.0,Papio,32,East Africa
220,HTB1701,0,2.62620552,0.535897499,0.0,Pan,32,French Cameroons
221,HTB1703,0,2.05137914,0.40457764999999996,0.0,Pan,32,French Cameroons
222,HTB1706,0,1.73783748,0.333164782,0.0,Pan,31,Ebolwa
223,HTB1707,0,1.73783748,0.333164782,0.0,Pan,28,Ebolwa
224,HTB1708,0,2.15589303,0.42842433599999996,0.0,Pan,32,Ebolwa
225,HTB1713,0,2.05137914,0.40457764999999996,0.0,Pan,32,Ebolwa
226,HTB1718,0,1.8075134,0.349014071,0.0,Pan,32,Ebolwa
227,HTB1719,1,2.49556316,0.506022442,0.0,Pan,30,Ebolwa
228,HTB1720,12,1.1630110999999999,0.203288089,0.0,Pan,32,Ebolwa
229,HTB1721,0,1.84235137,0.356943631,0.0,Pan,32,Ebolwa
230,HTB1722,0,2.06879812,0.408550898,0.0,Pan,32,Ebolwa
231,HTB1723,0,2.46943469,0.5000491229999999,0.0,Pan,32,Ebolwa
232,HTB1724,0,1.84235137,0.356943631,0.0,Pan,32,Ebolwa
233,HTB1726,5,2.56120692,0.490072026,0.0,Pan,32,Ebolwa
234,HTB1735,0,1.89460831,0.368843519,0.0,Pan,32,Ebolwa
235,HTB1737,0,2.7829763499999998,0.5717638469999999,0.0,Pan,28,Ebolwa
236,HTB1738,0,1.94686525,0.380749511,0.0,Pan,32,Ebolwa
237,HTB1739,0,2.1036360899999997,0.416498874,0.0,Pan,32,Ebolwa
238,HTB1741,0,2.8352333,0.583722718,0.0,Pan,32,Ebolwa
239,HTB1744,0,1.9991222,0.39266105100000004,0.0,Pan,32,Ebolwa
240,HTB1745,0,1.89460831,0.368843519,0.0,Pan,32,Ebolwa
241,HTB1748,5,3.3578027300000004,0.703383117,0.0,Pan,31,Ebolwa
242,HTB1758,0,1.9991222,0.39266105100000004,0.0,Pan,32,Ebolwa
243,HTB1768,0,1.9991222,0.39266105100000004,0.0,Pan,32,Ebolwa
244,HTB1775,1,2.61346386,0.501978364,0.0,Pan,30,French Cameroons
245,HTB1791,0,2.15589303,0.42842433599999996,0.0,Pan,32,Ebolwa
